id,name,gender,born,died,species,height,weight,hair_color,eye_color,skin_color,blood_status,marital_status,nationality,animagus,boggart,house,patronus,alias_names,jobs,titles,family_members,romances,wands,image,wiki
4ef73793-74cc-498d-8a6a-3f28c9befbd6,Jan Kowalski,Male,,,Human,,,,,,,,Polish,,,,,,,,['Jacob Kowalski (possibly)'],,,,https://harrypotter.fandom.com/wiki/Jan_Kowalski
e3c17d2f-d2d9-4c5d-81ea-08fcb73add5d,Ella Wilkins,Female,1 September 1978 - 31 August 1982,,Human,,,,,,,,British or Irish,,,Slytherin,,,,,['Heliotrope Wilkins (possibly)'],,,,https://harrypotter.fandom.com/wiki/Ella_Wilkins
3c2e17d2-7d0e-4e29-8c3b-4157efcc9669,Bob Hitchens,Male,,,Human,,,,,,Muggle,Married,,,,,,,,,"['Iola Black (wife) †', 'Sirius Black I (brother-in-law) †', 'Phineas Nigellus Black (brother-in-law) †', 'Elladora Black (sister-in-law) †', 'Ursula Flint (sister-in-law) †', 'Sirius Black II (nephew) †', 'Phineas Black (nephew) †', 'Arcturus Black II (nephew) †', 'Belvina Black (niece) †', 'Cygnus Black II (nephew) †', 'Hitchens family', 'House of Black (in-laws)']",['Iola Black (wife) †'],,https://static.wikia.nocookie.net/harrypotter/images/5/5d/BobHitchens.png,https://harrypotter.fandom.com/wiki/Bob_Hitchens
d1cff975-48ff-438c-9e61-5bf751219468,Unidentified Azkaban Escapee,Male,,,Human,,,Brown,,Pale,,,British,,,,,,,,,,"['Unknown length, wood and core']",https://static.wikia.nocookie.net/harrypotter/images/0/08/Brilliant_Azkaban_Escapee_WU.png,https://harrypotter.fandom.com/wiki/Unidentified_Azkaban_Escapee
958bb040-4c5f-4dd8-b5d5-0c5a205e0bdf,Molly Weasley's second cousin,Male,Pre 1975,,Human,,,,,,Squib (possibly),Married,English (presumably),,,,,,"['Accountant', 'Stockbroker']",,"['Wife', 'Mafalda (daughter)', 'Muriel (possible great-aunt)', 'Gideon Prewett (second cousin)', 'Fabian Prewett (second cousin)', 'Molly Weasley (née Prewett) (second cousin)', 'Prewett family']",['Wife'],,,https://harrypotter.fandom.com/wiki/Molly_Weasley's_second_cousin
a0d8146f-b884-46d9-aa24-07882eddbf41,Portrait of a witch in Pompadour hairstyle,Female,,Before 1991 (possibly),Human,,,,,,,,,,,,,,,,,,,https://static.wikia.nocookie.net/harrypotter/images/7/7f/Portrait_of_a_witch_in_Pompadour_hairstyle.jpg,https://harrypotter.fandom.com/wiki/Portrait_of_a_witch_in_Pompadour_hairstyle
9878a41d-2d4b-490a-a693-2ebcf27140dc,Albanian peasant,,,After 1946,Human,,,,,,Muggle,,Albanian,,,,,,,,,,,,https://harrypotter.fandom.com/wiki/Albanian_peasant
d91d7f03-0ffa-40ad-b2d7-4cb7fdd9dfc6,Debbie Amy,Female,,,Human,,,,,,,,,,,,,,,,,,,,https://harrypotter.fandom.com/wiki/Debbie_Amy
921db679-0962-4fe6-b9b2-9388bfd8ff08,Director of the Investigation Department No. 61042,,,,Human,,,,,,,,,,,,,,['Director of the Investigation Department of the Auror Office'],,,,,https://static.wikia.nocookie.net/harrypotter/images/a/a5/Director_Investigation_Department.jpg,https://harrypotter.fandom.com/wiki/Director_of_the_Investigation_Department_No._61042
3fceb543-ef15-4a05-beaf-611e36c89c9b,Unidentified Death Eater,Male,,,Human,,,Dark,,White,,,,,,,None,,,,,,,https://static.wikia.nocookie.net/harrypotter/images/1/16/Light_Death_Eater_DHF2.jpg,https://harrypotter.fandom.com/wiki/Unidentified_light_male_Death_Eater_(I)
8a685c61-e46b-405e-ab0d-b63676cd87ce,Susie Sooth,Female,,,Human,,,,,,,,British,,,,,,['Professional Seer'],,,,,,https://harrypotter.fandom.com/wiki/Susie_Sooth
e458b61c-46d9-4468-b12b-66b2019fa1b4,Mrs Trelawney,Female,,,Human,,,,,,Muggle,Married,British,,,,,,,,"['Mr Trelawney (husband)', 'Sybill Trelawney (daughter)', 'Higglebottom (ex-son-in-law)']",,,,https://harrypotter.fandom.com/wiki/Sybill_Trelawney's_mother
0b7a950c-b0aa-42d3-9674-c73d90614615,Unidentified Chaser (I),Male,31 August 1973 or earlier,,Human,,,Black,,Pale,,,British or Irish,,,,,,,['Chaser'],,,,https://static.wikia.nocookie.net/harrypotter/images/0/0a/Unidentified_Chaser_Quidditch_Season_3.JPG,https://harrypotter.fandom.com/wiki/Unidentified_Chaser_(I)
f83199fe-673f-4635-a118-00cf654af948,Luccas Carusus,Male,,,Human,,,,,,,,,,,,,,,,,,,,https://harrypotter.fandom.com/wiki/Luccas_Carusus
2cbabfa2-7aa4-43e9-9a97-dc2c1567eb2c,Sam,Male,,,Human,,,,,,Muggle,,,,,,,,,,,,,https://static.wikia.nocookie.net/harrypotter/images/9/94/Sam.png,https://harrypotter.fandom.com/wiki/Sam_(vandal)
fb28fa54-e407-4416-b2f2-2b19d51c354e,Corvus Lestrange,Male,,,Human,,,,,Light,Pure-blood,,,,,,,,,,"['Corvus Lestrange (father)', 'Heloise Lestrange (mother)', 'Falco Lestrange (brother)', 'Minette Lestrange (wife)', 'Manon Perrot (daughter)', 'Josette Gage (daughter)', 'Corvus Lestrange (son)', 'Salomé Lestrange (sister-in-law)', 'Leonie Tremblay (niece)', 'Eglantine Lestrange (niece/daughter-in-law)', 'Sebastien Perrot (son-in-law)', 'Reynard Gage (son-in-law)', 'Corvus Lestrange (grandson)', 'Odile Perrot (granddaughter)', 'Laurelle Perrot (granddaughter)', 'Huguette Perrot (granddaughter)', 'Mathis Gage (grandson)', 'Louis Gage (grandson)', 'Clarisse Lestrange (grand-niece/granddaughter-in-law)', 'Falco Tremblay (grand-nephew)', 'Leta Lestrange (great-granddaughter)Corvus Lestrange (great-grandson)', 'Corvus Lestrange (great-grandson)', 'Lestrange family', 'Beaufort family', 'Rosier family (in-laws)']",,,https://static.wikia.nocookie.net/harrypotter/images/7/7b/CORVUSLESTRANGE_II.jpg,https://harrypotter.fandom.com/wiki/Corvus_Lestrange_(II)
338df1c4-04c3-4ec5-80e1-a1de6aa2136f,Jugson,Male,,,Human,,,,,,Pure-blood or half-blood (most likely),,,,,,None,,,,,,,https://static.wikia.nocookie.net/harrypotter/images/c/c1/Jugson.png,https://harrypotter.fandom.com/wiki/Jugson
a7b91c93-7331-4506-bc04-39e9dcb664f7,Matagot at the Magical Creatures Reserve,,,,Matagot,,,,Blue,Black,,,,,,,,,,,,,,https://static.wikia.nocookie.net/harrypotter/images/a/a2/Matagot_at_the_Magical_Creatures_Reserve_HM.png,https://harrypotter.fandom.com/wiki/Matagot_at_the_Magical_Creatures_Reserve
12ea86d3-9cc3-4d7b-88a7-f9393d075a85,Daisy Pennifold,Female,c. 18th century,,Human,,,,,,,,,,,,,,,,,,,,https://harrypotter.fandom.com/wiki/Daisy_Pennifold
916e319f-6fdd-470c-b73a-3ef7d94287d0,Unidentified Gryffindor girl,Female,31 August 1896 or earlier,,Human,,,,,,,,British or Irish,,,Gryffindor,,,,,,,,https://static.wikia.nocookie.net/harrypotter/images/a/ae/Gryffindor_girl_II_COG.png,https://harrypotter.fandom.com/wiki/Unidentified_1910s_Gryffindor_girl_(II)
91ad9544-605b-43c5-a045-3fd678f8c232,Duncan Knottingley,Male,31 August 1982 or earlier,,Human,,,,,,,,British or Irish,,,Hufflepuff,,,,,,,,,https://harrypotter.fandom.com/wiki/Duncan_Knottingley
0ee68c5a-fd96-4277-816f-474a96535691,Catriona McCormack,Female,,,Human,,,Brown,Purple,Light,,,British,,,,,,"['Chaser and Captain for the Pride of Portree', 'Chaser for the Scottish National Quidditch team']","['Captain', 'Chaser']","['Meaghan McCormack (daughter)', 'Kirley Duke (son)', 'McCormack family']",,,https://static.wikia.nocookie.net/harrypotter/images/c/c4/Catriona_McCormack.png,https://harrypotter.fandom.com/wiki/Catriona_McCormack
c9c78168-a72c-4023-a0cc-572e8ed5d92c,Barnaby Lee's father,Male,Before 1970s,,Human,,,,,,,Married,,,,,None,,,,"['Mother or mother-in-law', 'Cecil Lee (brother)', 'Wife', 'Barnaby Lee (son)', 'Lee family']",,,,https://harrypotter.fandom.com/wiki/Barnaby_Lee's_father
82af3100-8e47-4001-a7bd-68ea7916e8b9,Hogsmeade street sweeper,Male,,,Human,,,White,,,,,,,,,,,['Street sweeper'],,,,,https://static.wikia.nocookie.net/harrypotter/images/6/6f/Hogsmeade_street_sweeper.jpg,https://harrypotter.fandom.com/wiki/Hogsmeade_street_sweeper
be1ccfe2-cdb1-4a78-a14f-8f482727b1af,Norman Stacey,Male,31 August 1982 or earlier,,Human,,,,,,,,British or Irish,,,Slytherin,,,,,,,,,https://harrypotter.fandom.com/wiki/Norman_Stacey
082240c7-469f-4af8-9e2a-72310cd92c3a,Mabel Dashalot,Female,,,Human,,,,,,,,,,,,,,,,,,,,https://harrypotter.fandom.com/wiki/Mabel_Dashalot
e9660c83-31d0-43ae-a4e1-3cf66db2865c,Unidentified black wizard,Male,,,Human,,,Black,,Black,,,,,,,,,,,,,,https://static.wikia.nocookie.net/harrypotter/images/7/71/HPDH2-1253.jpg,https://harrypotter.fandom.com/wiki/Unidentified_black_wizard_during_the_Battle_of_Hogwarts
172015bb-9d00-4d2f-8c07-fbc239303bf3,Linda Chaddesley,Female,31 August 1982 or earlier,,Human,,,,,,,,British or Irish,,,Hufflepuff,,,,,,,,,https://harrypotter.fandom.com/wiki/Linda_Chaddesley
02133203-bedb-4f89-86f2-bbfc650c15f7,Mrs Vane,Female,,,Human,,,,,,,,,,,,,,,,"['Emma Vane (daughter)', 'Romilda Vane (possibly)']",,,,https://harrypotter.fandom.com/wiki/Emma_Vane's_mother
96d996ad-3247-4877-b3f1-d4ed6a8104a5,Ryuichi Yamaguchi,Male,"After 1976, Japan",,Human,,,,,,,,,,,,,,['Chaser for the Japanese National Quidditch team'],,,,,,https://harrypotter.fandom.com/wiki/Ryuichi_Yamaguchi
c66a03f9-3537-4e32-b862-f781290c28f1,Toby Gleaves,Male,,,,,,,,,,,,,,,,,,,['Olivia Gleaves (possibly)'],,,,https://harrypotter.fandom.com/wiki/Toby_Gleaves
8c417205-c295-42d2-9282-74ad28a39a53,Broom flyer,,,1991 (possibly),Human,,,,,,,,,,,,,,['Professional broom flier (possibly)'],,,,,,https://harrypotter.fandom.com/wiki/Unidentified_broom_flyer
9edea3bd-2abb-4372-8c6e-6bd22464a015,Elite No-Maj,Male,Pre 1927,,Human,,,Blond,,White,,,American,,,,,,['Socialite'],,,,,,https://harrypotter.fandom.com/wiki/Elite_No-Maj
8c27fe4b-baaf-45c0-b273-8725aa65540e,Vekey,,,,House-elf,,,,,Light,,,British,,,,,,['Hogwarts kitchens worker'],,,,,https://static.wikia.nocookie.net/harrypotter/images/c/c7/Vekey.jpg,https://harrypotter.fandom.com/wiki/Vekey
6151c4b6-80cc-438d-8bb5-484f3adf212e,James Matthew Barrie,Male,9 May 1860,19 June 1937,Human,,,,,,,,,,,,,,['Novelist and playwright'],,,,,,https://harrypotter.fandom.com/wiki/J._M._Barrie
95c7336f-495c-4de0-813c-d4502154543c,Malodora Grymm's victim,Female,Middle Ages,Middle Ages,Human,,,,,,Muggle,,,,,,,,,,,,,,https://harrypotter.fandom.com/wiki/Malodora_Grymm's_victim
12c56354-94b0-409c-9785-bb094de02fa2,Headmaster of Castelobruxo,Male,,,Human,,,,,,,,,,,,,,['Headmaster of Castelobruxo (c. 1989)'],"['Headmaster', 'Professor']",,,,,https://harrypotter.fandom.com/wiki/Headmaster_of_Castelobruxo_during_1989
